frames_to_process,split_no,flops,total_processing_time,single_frame_time,left_output_size,avg_consec_inference_gap,total_left_model_time,total_right_model_time,Model
10,34,0.0152,25.297048,2.5297048,602112,2.441332778,1.019068,0,DenseNet169
10,34,0.0152,25.308144,2.5308144,602112,0.8447238889,1.024576,0,DenseNet169
10,41,0.0191,27.037765,2.7037765,702464,1.394586333,1.253002,10.765677,DenseNet169
10,41,0.0191,27.044432,2.7044432,702464,0.3993568889,1.173524,0,DenseNet169
10,48,0.0232,29.150464,2.9150464,802816,2.369637667,1.245598,10.298505,DenseNet169
10,48,0.0232,29.152045,2.9152045,802816,2.280350556,1.206391,0,DenseNet169
10,49,0.0232,29.015904,2.9015904,802816,2.764759222,1.386584,10.168358,DenseNet169
10,49,0.0232,29.016016,2.9016016,802816,2.764856333,1.432818,0,DenseNet169
10,50,0.0232,20.722656,2.0722656,802816,1.958041111,1.245862,10.191971,DenseNet169
10,50,0.0232,20.722042,2.0722042,802816,1.958150333,1.262856,0,DenseNet169
10,51,0.0252,20.097038,2.0097038,401408,1.893889444,1.241372,0,DenseNet169
10,51,0.0252,20.097147,2.0097147,401408,1.894000444,1.291379,10.155218,DenseNet169
10,52,0.0252,13.297362,1.3297362,100352,1.182165444,1.395613,9.782922,DenseNet169
10,52,0.0252,13.29136,1.329136,100352,1.182292,1.427736,0,DenseNet169
10,59,0.0261,13.7271,1.37271,125440,1.227902222,1.435945,9.80268,DenseNet169
10,59,0.0261,13.726116,1.3726116,125440,1.227960444,1.379092,0,DenseNet169
10,66,0.027,15.09966,1.509966,150528,1.372028222,1.402181,0,DenseNet169
10,66,0.027,15.100648,1.5100648,150528,1.372163667,1.451143,9.706056,DenseNet169
10,73,0.0279,15.198209,1.5198209,175616,1.361323778,1.534509,0,DenseNet169
10,73,0.0279,15.19462,1.519462,175616,1.361428,1.56493,10.293289,DenseNet169
10,80,0.0289,15.092429,1.5092429,200704,1.354122,1.559323,0,DenseNet169
10,80,0.0289,15.093012,1.5093012,200704,1.354255667,1.585961,9.826311,DenseNet169
10,87,0.03,16.746535,1.6746535,225792,1.502592778,1.712181,9.320465,DenseNet169
10,87,0.03,16.745374,1.6745374,225792,1.502695111,1.733317,0,DenseNet169
10,94,0.0312,17.081807,1.7081807,250880,1.518954667,1.824015,9.86408,DenseNet169
10,94,0.0312,17.083369,1.7083369,250880,1.519139333,1.831592,0,DenseNet169
10,101,0.0324,17.24297,1.724297,275968,1.521726444,2.023282,0,DenseNet169
10,101,0.0324,17.242155,1.7242155,275968,1.521851778,2.02441,9.065679,DenseNet169
10,108,0.0337,17.663894,1.7663894,301056,1.555757778,2.088276,9.289182,DenseNet169
10,108,0.0337,17.663517,1.7663517,301056,1.555892778,2.094515,0,DenseNet169
10,115,0.0351,18.314585,1.8314585,326144,1.628309889,2.124709,9.123346,DenseNet169
10,115,0.0351,18.29698,1.829698,326144,1.628468,2.131779,0,DenseNet169
10,122,0.0365,19.214535,1.9214535,351232,1.690130444,2.095741,0,DenseNet169
10,122,0.0365,19.215569,1.9215569,351232,1.690266,2.100278,8.624512,DenseNet169
10,129,0.0379,19.681199,1.9681199,376320,1.761545444,2.193546,0,DenseNet169
10,129,0.0379,19.68369,1.968369,376320,1.761695222,2.216273,8.529724,DenseNet169
10,136,0.0395,20.224176,2.0224176,401408,1.758388,2.315387,0,DenseNet169
10,136,0.0395,20.223982,2.0223982,401408,1.758568222,2.326802,8.365853,DenseNet169
10,137,0.0395,21.176793,2.1176793,401408,1.758231889,2.851271,8.323605,DenseNet169
10,137,0.0395,21.158282,2.1158282,401408,1.758343111,2.83269,0,DenseNet169
10,138,0.0395,13.474796,1.3474796,401408,1.119731556,2.306569,0,DenseNet169
10,138,0.0395,13.475606,1.3475606,401408,1.119699556,2.301004,8.215824,DenseNet169
10,139,0.0415,15.026864,1.5026864,200704,1.272311444,2.34017,7.968873,DenseNet169
10,139,0.0415,15.028042,1.5028042,200704,1.272485111,2.350479,0,DenseNet169
10,140,0.0415,11.327755,1.1327755,50176,0.8970971111,2.364324,8.311383,DenseNet169
10,140,0.0415,11.327961,1.1327961,50176,0.8971231111,2.346173,0,DenseNet169
10,147,0.0418,11.743734,1.1743734,56448,0.907488,2.547215,7.875696,DenseNet169
10,147,0.0418,11.729115,1.1729115,56448,0.9076385556,2.6046,0,DenseNet169
10,154,0.0421,11.663457,1.1663457,62720,0.928899,2.443384,0,DenseNet169
10,154,0.0421,11.664469,1.1664469,62720,0.9289045556,2.406765,7.87371,DenseNet169
10,161,0.0424,11.772428,1.1772428,68992,0.9333758889,2.497681,7.824615,DenseNet169
10,161,0.0424,11.773032,1.1773032,68992,0.9333443333,2.462871,0,DenseNet169
10,168,0.0427,11.561093,1.1561093,75264,0.8992943333,2.598516,0,DenseNet169
10,168,0.0427,11.561367,1.1561367,75264,0.8992975556,2.562224,7.680897,DenseNet169
10,175,0.0431,11.794081,1.1794081,81536,0.8950471111,2.820701,0,DenseNet169
10,175,0.0431,11.794887,1.1794887,81536,0.8952138889,2.891575,7.388753,DenseNet169
10,182,0.0434,12.370938,1.2370938,87808,0.9612615556,2.792979,0,DenseNet169
10,182,0.0434,12.372036,1.2372036,87808,0.961216,2.777462,7.216266,DenseNet169
10,189,0.0438,11.999262,1.1999262,94080,0.9283324444,2.734395,0,DenseNet169
10,189,0.0438,12.000182,1.2000182,94080,0.9284771111,2.774243,7.692378,DenseNet169
10,196,0.0442,12.044424,1.2044424,100352,0.924109,2.858964,0,DenseNet169
10,196,0.0442,12.045769,1.2045769,100352,0.9241535556,2.81378,7.217543,DenseNet169
10,203,0.0446,12.578626,1.2578626,106624,0.9751466667,2.927966,7.024874,DenseNet169
10,203,0.0446,12.578551,1.2578551,106624,0.9750642222,2.894999,0,DenseNet169
10,210,0.045,12.250435,1.2250435,112896,0.9173705556,3.064396,0,DenseNet169
10,210,0.045,12.250963,1.2250963,112896,0.9174256667,3.122029,6.878556,DenseNet169
10,217,0.0454,12.430998,1.2430998,119168,0.9174491111,3.227278,0,DenseNet169
10,217,0.0454,12.447629,1.2447629,119168,0.9176018889,3.244601,6.720009,DenseNet169
10,224,0.0459,13.208239,1.3208239,125440,1.020128111,3.09702,0,DenseNet169
10,224,0.0459,13.209244,1.3209244,125440,1.020226333,3.123322,6.617834,DenseNet169
10,231,0.0463,12.519217,1.2519217,131712,0.9393593333,3.168894,7.096865,DenseNet169
10,231,0.0463,12.515537,1.2515537,131712,0.9394094444,3.140775,0,DenseNet169
10,238,0.0468,12.864775,1.2864775,137984,0.9696091111,3.235501,0,DenseNet169
10,238,0.0468,12.865195,1.2865195,137984,0.9697055556,3.257256,6.457796,DenseNet169
10,245,0.0473,13.273451,1.3273451,144256,1.008309778,3.268875,0,DenseNet169
10,245,0.0473,13.274255,1.3274255,144256,1.008464556,3.31423,6.29731,DenseNet169
10,252,0.0478,12.582666,1.2582666,150528,0.9213823333,3.396428,0,DenseNet169
10,252,0.0478,12.584026,1.2584026,150528,0.9213983333,3.376677,6.220809,DenseNet169
10,259,0.0484,12.90411,1.290411,156800,0.922804,3.682546,5.956461,DenseNet169
10,259,0.0484,12.921618,1.2921618,156800,0.9229181111,3.720729,0,DenseNet169
10,266,0.0489,13.156743,1.3156743,163072,0.9378401111,3.742584,5.807788,DenseNet169
10,266,0.0489,13.156368,1.3156368,163072,0.9377546667,3.732911,0,DenseNet169
10,273,0.0495,13.322056,1.3322056,169344,0.9738392222,3.589943,5.82493,DenseNet169
10,273,0.0495,13.321924,1.3321924,169344,0.9739595556,3.633609,0,DenseNet169
10,280,0.05,13.584923,1.3584923,175616,1.004453667,3.618547,0,DenseNet169
10,280,0.05,13.585551,1.3585551,175616,1.004547556,3.662619,5.697676,DenseNet169
10,287,0.0506,13.238438,1.3238438,181888,0.9563942222,3.706103,0,DenseNet169
10,287,0.0506,13.238648,1.3238648,181888,0.9564654444,3.745558,6.050563,DenseNet169
10,294,0.0513,14.586424,1.4586424,188160,1.078668556,3.95976,5.458059,DenseNet169
10,294,0.0513,14.58772,1.458772,188160,1.078758,3.927581,0,DenseNet169
10,301,0.0519,14.270546,1.4270546,194432,1.018617,4.138539,5.61652,DenseNet169
10,301,0.0519,14.261286,1.4261286,194432,1.018715444,4.145026,0,DenseNet169
10,308,0.0525,14.652982,1.4652982,200704,1.048212,4.222256,5.597956,DenseNet169
10,308,0.0525,14.653381,1.4653381,200704,1.048158667,4.21429,0,DenseNet169
10,315,0.0532,13.651269,1.3651269,206976,0.9411472222,4.25196,0,DenseNet169
10,315,0.0532,13.656442,1.3656442,206976,0.941213,4.287872,5.273934,DenseNet169
10,322,0.0539,13.970579,1.3970579,213248,0.9954356667,4.105559,4.825846,DenseNet169
10,322,0.0539,13.971314,1.3971314,213248,0.9955734444,4.106845,0,DenseNet169
10,329,0.0545,13.594088,1.3594088,219520,0.9230464444,4.360699,0,DenseNet169
10,329,0.0545,13.578094,1.3578094,219520,0.9231966667,4.34718,4.681239,DenseNet169
10,336,0.0552,14.418627,1.4418627,225792,0.9911847778,4.56372,4.510189,DenseNet169
10,336,0.0552,14.411803,1.4411803,225792,0.9913318889,4.565938,0,DenseNet169
10,343,0.056,13.922855,1.3922855,232064,0.9278471111,4.602301,0,DenseNet169
10,343,0.056,13.92352,1.392352,232064,0.9279598889,4.610131,4.416497,DenseNet169
10,350,0.0567,14.555957,1.4555957,238336,1.005078111,4.520897,4.289385,DenseNet169
10,350,0.0567,14.555279,1.4555279,238336,1.005196889,4.536258,0,DenseNet169
10,357,0.0575,14.273458,1.4273458,244608,0.9453753333,4.547415,4.178177,DenseNet169
10,357,0.0575,14.273543,1.4273543,244608,0.9455088889,4.570326,0,DenseNet169
10,364,0.0582,15.152225,1.5152225,250880,1.047907444,4.697216,0,DenseNet169
10,364,0.0582,15.152522,1.5152522,250880,1.048084,4.710468,4.096928,DenseNet169
10,365,0.0582,14.067793,1.4067793,250880,0.953756,4.531324,4.184027,DenseNet169
10,365,0.0582,14.067717,1.4067717,250880,0.9539513333,4.541961,0,DenseNet169
10,366,0.0582,12.019148,1.2019148,250880,0.7311966667,4.785097,3.964746,DenseNet169
10,366,0.0582,12.023436,1.2023436,250880,0.7312944444,4.794378,0,DenseNet169
10,367,0.0614,11.682742,1.1682742,125440,0.6787694444,4.907573,0,DenseNet169
10,367,0.0614,11.690749,1.1690749,125440,0.6787156667,4.905665,4.294798,DenseNet169
10,368,0.0614,9.060971,0.9060971,31360,0.4451565556,4.594287,0,DenseNet169
10,368,0.0614,9.061855,0.9061855,31360,0.4453346667,4.633594,3.829481,DenseNet169
10,375,0.0616,9.582379,0.9582379,32928,0.4611285556,4.904179,3.708541,DenseNet169
10,375,0.0616,9.583199,0.9583199,32928,0.4612211111,4.908768,0,DenseNet169
10,382,0.0617,9.3674,0.93674,34496,0.4470307778,4.88653,3.771879,DenseNet169
10,382,0.0617,9.367154,0.9367154,34496,0.4471411111,4.864372,0,DenseNet169
10,389,0.0618,10.567783,1.0567783,36064,0.5227786667,5.338953,3.652656,DenseNet169
10,389,0.0618,10.554632,1.0554632,36064,0.5230133333,5.381619,0,DenseNet169
10,396,0.0619,10.230091,1.0230091,37632,0.4544894444,5.70647,0,DenseNet169
10,396,0.0619,10.232709,1.0232709,37632,0.4544458889,5.651971,4.120762,DenseNet169
10,403,0.0621,9.052726,0.9052726,39200,0.4138914444,4.933794,3.50364,DenseNet169
10,403,0.0621,9.05311,0.905311,39200,0.4139087778,4.90718,0,DenseNet169
10,410,0.0622,9.280563,0.9280563,40768,0.4017071111,5.24679,3.208524,DenseNet169
10,410,0.0622,9.287087,0.9287087,40768,0.4018298889,5.286891,0,DenseNet169
10,417,0.0623,9.251327,0.9251327,42336,0.4175225556,5.099293,0,DenseNet169
10,417,0.0623,9.251485,0.9251485,42336,0.4174598889,5.068824,3.069306,DenseNet169
10,424,0.0625,9.704586,0.9704586,43904,0.3947131111,5.118121,3.1362,DenseNet169
10,424,0.0625,9.705378,0.9705378,43904,0.3948235556,5.145683,0,DenseNet169
10,431,0.0626,9.571281,0.9571281,45472,0.384485,5.72324,0,DenseNet169
10,431,0.0626,9.575531,0.9575531,45472,0.3844856667,5.726656,3.543025,DenseNet169
10,438,0.0628,9.283073,0.9283073,47040,0.4105835556,5.188775,0,DenseNet169
10,438,0.0628,9.28343,0.928343,47040,0.4107592222,5.219873,2.776439,DenseNet169
10,445,0.0629,9.348252,0.9348252,48608,0.3778193333,5.602306,2.874997,DenseNet169
10,445,0.0629,9.343322,0.9343322,48608,0.3778167778,5.55521,0,DenseNet169
10,452,0.0631,10.211273,1.0211273,50176,0.3946632222,6.18742,2.602622,DenseNet169
10,452,0.0631,10.211554,1.0211554,50176,0.3946493333,6.166197,0,DenseNet169
10,459,0.0633,9.533613,0.9533613,51744,0.3761813333,5.772992,2.651389,DenseNet169
10,459,0.0633,9.535047,0.9535047,51744,0.3763683333,5.807097,0,DenseNet169
10,466,0.0634,9.408292,0.9408292,53312,0.3556911111,5.874293,2.47546,DenseNet169
10,466,0.0634,9.412876,0.9412876,53312,0.3556827778,5.828016,0,DenseNet169
10,473,0.0636,9.647844,0.9647844,54880,0.3616476667,6.032692,2.265809,DenseNet169
10,473,0.0636,9.651048,0.9651048,54880,0.361601,6.010597,0,DenseNet169
10,480,0.0638,9.174984,0.9174984,56448,0.3382901111,5.841955,0,DenseNet169
10,480,0.0638,9.176895,0.9176895,56448,0.3382593333,5.781523,2.238721,DenseNet169
10,487,0.064,9.810617,0.9810617,58016,0.3444465556,6.370643,2.046,DenseNet169
10,487,0.064,9.793947,0.9793947,58016,0.3444471111,6.344638,0,DenseNet169
10,494,0.0642,9.58155,0.958155,59584,0.3327537778,6.163052,0,DenseNet169
10,494,0.0642,9.587192,0.9587192,59584,0.3327748889,6.156096,1.968634,DenseNet169
10,501,0.0643,9.007769,0.9007769,61152,0.3073627778,5.924332,0,DenseNet169
10,501,0.0643,9.012217,0.9012217,61152,0.3074673333,5.947622,1.826782,DenseNet169
10,508,0.0645,9.705166,0.9705166,62720,0.297176,6.630268,1.666356,DenseNet169
10,508,0.0645,9.691672,0.9691672,62720,0.2971483333,6.584169,0,DenseNet169
10,515,0.0647,8.817821,0.8817821,64288,0.2925528889,5.900461,0,DenseNet169
10,515,0.0647,8.818432,0.8818432,64288,0.2925772222,5.891618,1.527522,DenseNet169
10,522,0.0649,8.8714,0.88714,65856,0.2785847778,6.08364,0,DenseNet169
10,522,0.0649,8.888185,0.8888185,65856,0.278597,6.09446,1.416737,DenseNet169
10,529,0.0651,9.959945,0.9959945,67424,0.3199195556,6.775044,1.283793,DenseNet169
10,529,0.0651,9.959682,0.9959682,67424,0.319906,6.758368,0,DenseNet169
10,536,0.0653,9.379093,0.9379093,68992,0.278506,6.592617,0,DenseNet169
10,536,0.0653,9.372903,0.9372903,68992,0.2786353333,6.599881,1.27909,DenseNet169
10,543,0.0656,10.244742,1.0244742,70560,0.2871542222,7.411755,1.094108,DenseNet169
10,543,0.0656,10.247096,1.0247096,70560,0.2871246667,7.331841,0,DenseNet169
10,550,0.0658,10.368205,1.0368205,72128,0.325551,7.163904,1.052609,DenseNet169
10,550,0.0658,10.362391,1.0362391,72128,0.3256906667,7.174205,0,DenseNet169
10,557,0.066,9.273744,0.9273744,73696,0.2505635556,6.761463,0.9744,DenseNet169
10,557,0.066,9.274996,0.9274996,73696,0.2506768889,6.780098,0,DenseNet169
10,564,0.0662,9.23235,0.923235,75264,0.2346246667,6.880485,0.738865,DenseNet169
10,564,0.0662,9.232807,0.9232807,75264,0.2347061111,6.881648,0,DenseNet169
10,571,0.0665,8.779604,0.8779604,76832,0.2355378889,6.424103,0.58472,DenseNet169
10,571,0.0665,8.780013,0.8780013,76832,0.2356925556,6.459079,0,DenseNet169
10,578,0.0667,8.784867,0.8784867,78400,0.2167786667,6.603935,0,DenseNet169
10,578,0.0667,8.78832,0.878832,78400,0.2169763333,6.640881,0.484131,DenseNet169
10,585,0.0669,9.0877,0.90877,79968,0.227696,6.83515,0,DenseNet169
10,585,0.0669,9.088629,0.9088629,79968,0.2277072222,6.814498,0.348393,DenseNet169
10,592,0.0672,8.5803,0.85803,81536,0.1955977778,6.66185,0,DenseNet169
10,592,0.0672,8.581669,0.8581669,81536,0.1955971111,6.597556,0.220401,DenseNet169
10,593,0.0672,8.992684,0.8992684,81536,0.1901065556,7.168223,0.09028,DenseNet169
10,593,0.0672,8.992331,0.8992331,81536,0.1900826667,7.076007,0,DenseNet169
10,594,0.0672,8.339697,0.8339697,81536,0.1798593333,6.645063,0.063306,DenseNet169
10,594,0.0672,8.340147,0.8340147,81536,0.1798675556,6.614364,0,DenseNet169
10,595,0.0672,7.478687,0.7478687,1664,0.01424511111,7.294853,0,DenseNet169
10,595,0.0672,7.478487,0.7478487,1664,0.01439144444,7.336795,0.054077,DenseNet169
10,1,0,11.911862,1.1911862,158700,0.8949085556,0.501343,0,DenseNet121
10,1,0,11.915139,1.1915139,158700,0.312397,0.501476,0,DenseNet121
10,2,0.0024,26.982921,2.6982921,802816,1.536475444,0.451502,0,DenseNet121
10,2,0.0024,26.984533,2.6984533,802816,1.810894,0.482634,0,DenseNet121
10,3,0.0024,27.013178,2.7013178,802816,2.369964333,0.433248,0,DenseNet121
10,3,0.0024,27.012717,2.7012717,802816,2.559741,0.476592,16.358113,DenseNet121
10,4,0.0024,18.176668,1.8176668,802816,1.765159222,0.456934,0,DenseNet121
10,4,0.0024,18.180939,1.8180939,802816,1.765273,0.537458,8.359984,DenseNet121
10,5,0.0024,19.59975,1.959975,831744,1.927961778,0.51982,8.136736,DenseNet121
10,5,0.0024,19.600801,1.9600801,831744,1.927999889,0.45997,0,DenseNet121
10,6,0.0024,14.193526,1.4193526,200704,1.392713111,0.430336,0,DenseNet121
10,6,0.0024,14.187436,1.4187436,200704,1.392844556,0.471425,8.792016,DenseNet121
10,13,0.0052,14.525863,1.4525863,301056,1.406799111,0.568022,0,DenseNet121
10,13,0.0052,14.525645,1.4525645,301056,1.406898333,0.568987,9.596249,DenseNet121
10,20,0.0083,18.154289,1.8154289,401408,1.735946222,0.792205,0,DenseNet121
10,20,0.0083,18.139427,1.8139427,401408,1.735912111,0.77441,8.026108,DenseNet121
10,27,0.0116,18.588979,1.8588979,501760,1.762841667,0.771385,0,DenseNet121
10,27,0.0116,18.589317,1.8589317,501760,1.762894889,0.819733,8.921359,DenseNet121
10,34,0.0152,21.303611,2.1303611,602112,2.054505889,0.913852,0,DenseNet121
10,34,0.0152,21.304076,2.1304076,602112,2.054616556,0.919689,7.614774,DenseNet121
10,41,0.0191,23.409285,2.3409285,702464,2.213190556,1.067771,0,DenseNet121
10,41,0.0191,23.415474,2.3415474,702464,2.213358889,1.103143,7.594553,DenseNet121
10,48,0.0232,25.278126,2.5278126,802816,2.396594111,1.172236,0,DenseNet121
10,48,0.0232,25.27792,2.527792,802816,2.396702,1.205156,7.041413,DenseNet121
10,49,0.0232,25.080222,2.5080222,802816,2.397673,1.19918,0,DenseNet121
10,49,0.0232,25.080072,2.5080072,802816,2.397836111,1.21805,7.103386,DenseNet121
10,50,0.0232,17.414306,1.7414306,802816,1.634734,1.218731,0,DenseNet121
10,50,0.0232,17.415363,1.7415363,802816,1.634851444,1.234001,6.810664,DenseNet121
10,51,0.0252,17.624306,1.7624306,401408,1.643764556,1.262278,0,DenseNet121
10,51,0.0252,17.630264,1.7630264,401408,1.643908556,1.288753,6.821843,DenseNet121
10,52,0.0252,10.486594,1.0486594,100352,0.9215966667,1.280915,0,DenseNet121
10,52,0.0252,10.486512,1.0486512,100352,0.9216668889,1.296467,7.178046,DenseNet121
10,59,0.0261,11.264316,1.1264316,125440,0.9585235556,1.370386,6.881059,DenseNet121
10,59,0.0261,11.264689,1.1264689,125440,0.9586592222,1.377511,0,DenseNet121
10,66,0.027,11.027291,1.1027291,150528,0.9594003333,1.42419,6.934973,DenseNet121
10,66,0.027,11.033149,1.1033149,150528,0.9595723333,1.466607,0,DenseNet121
10,73,0.0279,11.956656,1.1956656,175616,1.064192444,1.428992,0,DenseNet121
10,73,0.0279,11.958677,1.1958677,175616,1.064178889,1.419754,6.327352,DenseNet121
10,80,0.0289,12.20201,1.220201,200704,1.053279222,1.584566,6.550084,DenseNet121
10,80,0.0289,12.198424,1.2198424,200704,1.053277444,1.57501,0,DenseNet121
10,87,0.03,12.5067,1.25067,225792,1.093910889,1.60492,0,DenseNet121
10,87,0.03,12.507703,1.2507703,225792,1.094002111,1.619508,6.124388,DenseNet121
10,94,0.0312,12.892006,1.2892006,250880,1.124597333,1.688253,0,DenseNet121
10,94,0.0312,12.894042,1.2894042,250880,1.124759889,1.705473,5.982382,DenseNet121
10,101,0.0324,13.421914,1.3421914,275968,1.122107,1.874375,0,DenseNet121
10,101,0.0324,13.417995,1.3417995,275968,1.122189889,1.887914,6.098949,DenseNet121
10,108,0.0337,14.538142,1.4538142,301056,1.227956,1.926256,5.961329,DenseNet121
10,108,0.0337,14.538765,1.4538765,301056,1.228106111,1.974271,0,DenseNet121
10,115,0.0351,14.582836,1.4582836,326144,1.245391556,1.906052,5.537116,DenseNet121
10,115,0.0351,14.585977,1.4585977,326144,1.245525444,1.931783,0,DenseNet121
10,122,0.0365,15.605602,1.5605602,351232,1.327037889,2.06214,5.745775,DenseNet121
10,122,0.0365,15.60827,1.560827,351232,1.327161333,2.079906,0,DenseNet121
10,129,0.0379,17.251434,1.7251434,376320,1.481808778,2.318873,0,DenseNet121
10,129,0.0379,17.253643,1.7253643,376320,1.481798444,2.305344,5.506749,DenseNet121
10,136,0.0395,17.313226,1.7313226,401408,1.501215333,2.269268,5.528444,DenseNet121
10,136,0.0395,17.302835,1.7302835,401408,1.501333444,2.313801,0,DenseNet121
10,137,0.0395,16.818338,1.6818338,401408,1.414463333,2.55383,5.350293,DenseNet121
10,137,0.0395,16.817237,1.6817237,401408,1.414600333,2.607084,0,DenseNet121
